timestamp,route_id,route_name,city,transport_type,stop_id,vehicle_id,delay_seconds,delay_minutes,is_rain,is_weekend,hour,day_of_week
2025-10-01 00:00:00,KLB-TRN-1,Kalaburagi - Bangalore Express (Train),Kalaburagi,Train,Gulbarga University,V-KLB-TRN-1-03,568.9559574985938,9.48,0,0,0,2
2025-10-01 00:15:00,KLB-TRN-1,Kalaburagi - Bangalore Express (Train),Kalaburagi,Train,Jagat Circle,V-KLB-TRN-1-02,768.1203942776928,12.8,1,0,0,2
2025-10-01 00:30:00,KLB-BUS-2,Kalaburagi NEKRTC to Gulbarga University (Bus),Kalaburagi,Bus,NEKRTC Bus Stand,V-KLB-BUS-2-03,592.8344981156133,9.88,1,0,0,2
2025-10-01 00:45:00,BLR-TRN-2,Bangalore Namma Metro Green Line (Train),Bangalore,Train,Electronic City,V-BLR-TRN-2-01,327.02220961951457,5.45,1,0,0,2
2025-10-01 01:00:00,BLR-TRN-2,Bangalore Namma Metro Green Line (Train),Bangalore,Train,MG Road,V-BLR-TRN-2-04,393.21747711903276,6.55,1,0,1,2
2025-10-01 01:15:00,KLB-BUS-1,Kalaburagi City Bus - Ring Road (Bus),Kalaburagi,Bus,Jagat Circle,V-KLB-BUS-1-02,384.84888771909834,6.41,0,0,1,2
2025-10-01 01:30:00,KLB-BUS-2,Kalaburagi NEKRTC to Gulbarga University (Bus),Kalaburagi,Bus,NEKRTC Bus Stand,V-KLB-BUS-2-04,753.6109404266858,12.56,1,0,1,2
2025-10-01 01:45:00,BLR-BUS-1,Bangalore Majestic to Koramangala (Bus),Bangalore,Bus,Hebbal,V-BLR-BUS-1-05,280.98921026832573,4.68,0,0,1,2
2025-10-01 02:00:00,KLB-TRN-1,Kalaburagi - Bangalore Express (Train),Kalaburagi,Train,Railway Station,V-KLB-TRN-1-03,1398.9306014943845,23.32,1,0,2,2
2025-10-01 02:15:00,BLR-TRN-1,Bangalore Namma Metro Purple Line (Train),Bangalore,Train,Koramangala,V-BLR-TRN-1-01,145.54710302778437,2.43,0,0,2,2
2025-10-01 02:30:00,BLR-KLB-EXP,Bangalore to Kalaburagi Intercity Express (Train),Intercity,Train,Bangalore City,V-BLR-KLB-EXP-03,765.8685331171245,12.76,0,0,2,2
2025-10-01 02:45:00,BLR-BUS-1,Bangalore Majestic to Koramangala (Bus),Bangalore,Bus,Banashankari,V-BLR-BUS-1-02,516.9781721757678,8.62,1,0,2,2
2025-10-01 03:00:00,BLR-TRN-2,Bangalore Namma Metro Green Line (Train),Bangalore,Train,MG Road,V-BLR-TRN-2-05,150.71223476244054,2.51,0,0,3,2
2025-10-01 03:15:00,KLB-TRN-1,Kalaburagi - Bangalore Express (Train),Kalaburagi,Train,Aland Road,V-KLB-TRN-1-01,675.8691643918123,11.26,1,0,3,2
2025-10-01 03:30:00,KLB-BUS-1,Kalaburagi City Bus - Ring Road (Bus),Kalaburagi,Bus,Supermarket,V-KLB-BUS-1-02,587.9985822063594,9.8,1,0,3,2
2025-10-01 03:45:00,KLB-TRN-1,Kalaburagi - Bangalore Express (Train),Kalaburagi,Train,Kalaburagi Central,V-KLB-TRN-1-03,725.6253749079877,12.09,1,0,3,2
2025-10-01 04:00:00,KLB-TRN-1,Kalaburagi - Bangalore Express (Train),Kalaburagi,Train,Gulbarga University,V-KLB-TRN-1-04,529.9049187371904,8.83,0,0,4,2
2025-10-01 04:15:00,BLR-KLB-EXP,Bangalore to Kalaburagi Intercity Express (Train),Intercity,Train,Yadgir,V-BLR-KLB-EXP-01,848.4597556888174,14.14,0,0,4,2
2025-10-01 04:30:00,BLR-BUS-2,Bangalore Whitefield to Electronic City (Bus),Bangalore,Bus,Jayanagar,V-BLR-BUS-2-05,483.8779932906108,8.06,1,0,4,2
